statement,status
I think I used to smile a lot but lately I just feel numb and that worries me.,Depression
Most days I feel like I am never good enough no matter what I do and that worries me.,Personality Disorder
Sometimes I check things multiple times because I am afraid of making mistakes lately.,Anxiety
I think I feel so low that I cannot see any way forward and that worries me.,Suicidal
For a while now I feel relaxed and at peace today and I wish I could change it.,Normal
For a while now I'm afraid of embarrassing myself in front of others and it is hard.,Anxiety
I think I feel like I sabotage things when they are going well more than I would like to admit.,Personality Disorder
Today I do impulsive things that hurt me without thinking first and I do not know what to do.,Personality Disorder
To be honest I feel completely overwhelmed by everything I have to do and it has been going on for a while.,Stress
To be honest I feel like I am trapped in my own patterns and cannot break free and it is hard.,Personality Disorder
Today I feel hopeless about the future and it has been going on for a while.,Depression
Today I feel empty inside like nothing matters and it is hard.,Depression
To be honest I feel very empty inside most of the time which is not normal for me.,Personality Disorder
Often I feel like I am on a rollercoaster I cannot get off,Bi-Polar
Often I feel like my emotions are always at a ten out of ten,Personality Disorder
For a while now I don't see any reason to keep going every single day.,Suicidal
It feels like tense in my shoulders and chest all day every single day.,Anxiety
To be honest I feel like I don't really know who I am which is not normal for me.,Personality Disorder
Every day I keep worrying about things that might never happen and I do not know what to do.,Anxiety
To be honest I feel like I don't want to be here anymore lately.,Suicidal
To be honest I am so stressed that I feel sick to my stomach and it is hard.,Stress
Today Sometimes I feel so energetic I barely need sleep more than I would like to admit.,Bi-Polar
Sometimes I feel like my worry is out of control lately.,Anxiety
Honestly I feel like I am always waiting for something bad to happen and I wish I could change it.,Anxiety
Often Then I slept for 15 hours because I felt so depressed,Bi-Polar
I feel like I do not feel motivated to take care of myself lately.,Depression
Often But when I am low I can barely get out of bed more than I would like to admit.,Bi-Polar
I think I feel overwhelmed by sadness all the time and I do not know what to do.,Depression
Lately I feel worthless and like I am not good enough and it is exhausting.,Depression
Often I have been very talkative and energetic for days now and that worries me.,Bi-Polar
I think I am feeling steady and grounded and I do not know what to do.,Normal
Recently I have been giving away my things lately which is not normal for me.,Suicidal
I notice that I feel like my stress is making me physically ill and it is exhausting.,Stress
I notice that I feel like I am never good enough no matter what I do and it is exhausting.,Personality Disorder
It feels like I am making progress on my goals and feel encouraged more than I would like to admit.,Normal
Lately I feel confident and ready to face challenges lately.,Normal
Most days I feel like relationships are very all or nothing for me every single day.,Personality Disorder
Sometimes I cooked a nice meal and felt good doing it and it has been going on for a while.,Normal
I think I feel unstable and it is very hard to maintain a routine and that worries me.,Bi-Polar
To be honest Every small thing feels like a huge problem right now and it is exhausting.,Stress
Most days I feel calm and in control of my emotions more than I would like to admit.,Normal
Often I have so much on my plate and I don't know where to start and it has been going on for a while.,Stress
Today Work has been going well and I feel productive lately.,Normal
It feels like I have been eating too much or too little lately which is not normal for me.,Depression
Most days I think about death a lot and it comforts me every single day.,Suicidal
Honestly My mind races at night and I can't fall asleep and it is exhausting.,Anxiety
I have a very unstable self-image lately.,Personality Disorder
I think I feel supported by the people around me and I do not know what to do.,Normal
I notice that I wish I could just go to sleep and not wake up which is not normal for me.,Suicidal
Sometimes I feel like I am moving through fog every day and it has been going on for a while.,Depression
Often I have no energy to do anything today,Depression
Often I feel pressure from all sides and cannot handle it and that worries me.,Stress
I feel like I have so much on my plate and I don't know where to start,Stress
I feel like My heart is racing and I can't calm down and it has been going on for a while.,Anxiety
Today I feel like I am at the end of my rope and that worries me.,Suicidal
Recently I feel like I am constantly running but going nowhere which is not normal for me.,Stress
I think I feel like I am at the end of my rope more than I would like to admit.,Suicidal
Most days I struggle to maintain stable relationships and it has been going on for a while.,Personality Disorder
Most days I feel like I am always waiting for something bad to happen and I do not know what to do.,Anxiety
Lately Then I slept for 15 hours because I felt so depressed,Bi-Polar
Often I feel like I can never relax or take a break and it is exhausting.,Anxiety
Most days I feel like my stress is making me physically ill every single day.,Stress
Lately I keep thinking about what it would be like to die and it is hard.,Suicidal
Today I feel supported by the people around me and I do not know what to do.,Normal
Honestly I act impulsively to avoid feeling the pain I carry inside and I wish I could change it.,Personality Disorder
Most days I feel like there is no end to the stress in my life and I do not know what to do.,Stress
Honestly I feel sad and I do not know how to feel better which is not normal for me.,Depression
Recently I feel a sense of purpose in what I am doing and that worries me.,Normal
Every day I feel like my core identity is unstable and shifting and it is exhausting.,Personality Disorder
It feels like like nobody would notice if I disappeared which is not normal for me.,Depression
For a while now I feel hopeless about the future and it has been going on for a while.,Depression
Sometimes I had a productive day and feel satisfied and it is exhausting.,Normal
I think Even good news can make me feel anxious and that worries me.,Anxiety
Honestly I feel burned out and exhausted from all the pressure and I do not know what to do.,Stress
I notice that I cannot find joy in anything anymore and it is hard.,Depression
Today My hands are shaking and I feel tense and it is hard.,Anxiety
To be honest Leaving the house feels really hard some days and I do not know what to do.,Anxiety
Today I feel okay and that is enough for today every single day.,Normal
For a while now I feel optimistic and hopeful about my future lately.,Normal
For a while now I feel short-tempered and frustrated because of stress,Stress
It feels like But last month I could not leave my room for weeks,Bi-Polar
Recently I cannot concentrate because my thoughts are all over the place and I do not know what to do.,Anxiety
I feel like I used to love going out but now I just stay home and I wish I could change it.,Depression
I feel like I am moving through fog every day and it is hard.,Depression
To be honest I feel like I am trapped in my own patterns and cannot break free and it is exhausting.,Personality Disorder
I notice that I feel irritable and restless and then suddenly very sad and I do not know what to do.,Bi-Polar
Sometimes I started many projects when I was high but finished none which is not normal for me.,Bi-Polar
Sometimes I worry too much about what others think of me and it is exhausting.,Anxiety
Most days I think about death a lot and it comforts me more than I would like to admit.,Suicidal
Today I feel like I sabotage things when they are going well and it has been going on for a while.,Personality Disorder
To be honest I had a nice conversation and feel uplifted more than I would like to admit.,Normal
Today I feel like giving up on life completely,Suicidal
I notice that I feel like my stress is making me physically ill which is not normal for me.,Stress
Honestly I am looking forward to the weekend,Normal
It feels like I idealize people and then feel let down by them and it is exhausting.,Personality Disorder
Often I feel healthy both mentally and physically today and I do not know what to do.,Normal
Recently I feel like I am drowning in responsibilities every single day.,Stress
I feel like I have run out of reasons to stay alive more than I would like to admit.,Suicidal
Honestly I avoid going to crowded places because I get overwhelmed more than I would like to admit.,Anxiety
Most days I went for a walk and felt refreshed every single day.,Normal
I have been thinking about ways to hurt myself and it is exhausting.,Suicidal
For a while now I feel short-tempered and frustrated because of stress and that worries me.,Stress
For a while now I feel supported by the people around me every single day.,Normal
Lately I feel so stressed that I have stopped taking care of myself and it is hard.,Stress
I feel like my identity changes depending on who I am with and it is hard.,Personality Disorder
Lately My mood swings so much it is hard to keep up and it is hard.,Bi-Polar
Sometimes Leaving the house feels really hard some days and I do not know what to do.,Anxiety
I think Sometimes I feel so energetic I barely need sleep and it has been going on for a while.,Bi-Polar
Lately I feel short of breath when I am stressed which is not normal for me.,Anxiety
Today I am terrified of being abandoned by the people I love and it is exhausting.,Personality Disorder
I think I feel empty inside like nothing matters,Depression
Most days Everything feels like too much effort which is not normal for me.,Depression
It feels like Stress is making it hard to eat and sleep properly lately.,Stress
Sometimes I am managing my time well and feel in control,Normal
Most days I act impulsively to avoid feeling the pain I carry inside and I wish I could change it.,Personality Disorder
I notice that I feel like I am stretched too thin and something has to give and it has been going on for a while.,Stress
I think I feel tense and stressed even when I wake up in the morning and it has been going on for a while.,Stress
I think I feel like ending it all is the only option left and I wish I could change it.,Suicidal
Sometimes One day I feel amazing and the next I feel completely awful,Bi-Polar
Often I used to love going out but now I just stay home and I do not know what to do.,Depression
I notice that I feel like my moods shift without warning or reason more than I would like to admit.,Personality Disorder
I think I feel okay and that is enough for today,Normal
I notice that I wish I could just go to sleep and not wake up and it is hard.,Suicidal
Often Then I slept for 15 hours because I felt so depressed which is not normal for me.,Bi-Polar
Most days I feel like my moods shift without warning or reason lately.,Personality Disorder
Lately I think about hurting myself when the pain gets too bad more than I would like to admit.,Suicidal
Honestly I feel like I want to end everything tonight and that worries me.,Suicidal
I feel like I am moving through fog every day and I do not know what to do.,Depression
It feels like I had racing thoughts for days and could not slow down and it is hard.,Bi-Polar
Most days I feel like my stress is making me physically ill and I wish I could change it.,Stress
Every day I lost interest in things I used to enjoy and I do not know what to do.,Depression
Every day I feel like I am drowning in responsibilities,Stress
I feel like Then I slept for 15 hours because I felt so depressed and it has been going on for a while.,Bi-Polar
I notice that I feel like everyone is judging me and it is hard.,Anxiety
Sometimes I don't see the point in trying anymore and I wish I could change it.,Depression
I notice that I feel like people always leave me and it is my fault every single day.,Personality Disorder
Honestly I have done things I regret when I was overwhelmed with emotion and that worries me.,Personality Disorder
It feels like like I have lost my purpose and I do not know what to do.,Depression
I started many projects when I was high but finished none every single day.,Bi-Polar
Sometimes I had a nice conversation and feel uplifted and I wish I could change it.,Normal
Sometimes I feel like I don't really know who I am every single day.,Personality Disorder
Most days I feel like I cannot handle any more pressure every single day.,Anxiety
I notice that I feel stressed about my family and their problems and that worries me.,Stress
Recently I feel very negative about myself and my future and it has been going on for a while.,Depression
Most days I wish I could just go to sleep and not wake up and it has been going on for a while.,Suicidal
I think I feel very intense emotions that others do not seem to feel which is not normal for me.,Personality Disorder
Every day Work is stressing me out more than ever and that worries me.,Stress
Recently I feel like I am different people in different situations and I do not know what to do.,Personality Disorder
Most days I am tired of fighting and want to stop lately.,Suicidal
Every day I feel like my life has no value and I wish I could change it.,Suicidal
Sometimes I feel like everything is falling apart and it is hard.,Depression
Often I don't enjoy food or hobbies anymore which is not normal for me.,Depression
I feel completely overwhelmed by everything I have to do,Stress
For a while now I feel irritated and overwhelmed all the time and it is exhausting.,Stress
For a while now I feel stressed about money and I can't stop thinking about it which is not normal for me.,Stress
I think I spent too much money when I was feeling really good every single day.,Bi-Polar
Often I feel like nothing will ever get better so why try,Suicidal
For a while now I feel like I need constant reassurance that people care and it is exhausting.,Personality Disorder
Today I'm afraid of embarrassing myself in front of others,Anxiety
Honestly I went to the gym and feel great and I wish I could change it.,Normal
I feel like my worry is out of control and I do not know what to do.,Anxiety
To be honest I get really nervous in new situations and I wish I could change it.,Anxiety
Most days I feel burned out and exhausted from all the pressure more than I would like to admit.,Stress
I notice that I feel like I am stretched too thin and something has to give and it is exhausting.,Stress
It feels like I am making progress on my goals and feel encouraged and it has been going on for a while.,Normal
For a while now I have been grinding my teeth at night from stress and I do not know what to do.,Stress
I notice that I have been saying goodbye to people close to me and it is exhausting.,Suicidal
Sometimes I feel uneasy and I don't know why which is not normal for me.,Anxiety
Honestly I act impulsively to avoid feeling the pain I carry inside more than I would like to admit.,Personality Disorder
My emotions go from one extreme to the other very quickly which is not normal for me.,Bi-Polar
Lately I feel manipulative sometimes even though I do not mean to be and I wish I could change it.,Personality Disorder
Every day I had a great week but now I feel really low for no reason lately.,Bi-Polar
Every day Even small decisions make me feel anxious and I do not know what to do.,Anxiety
I feel like there is no future for me and that worries me.,Suicidal
Most days I feel like life is passing me by and I cannot do anything,Depression
Recently I feel very negative about myself and my future and I wish I could change it.,Depression
Today I feel stressed about money and I can't stop thinking about it and it has been going on for a while.,Stress
Every day I feel like I have lost my purpose more than I would like to admit.,Depression
My appetite changes completely depending on my mood and it has been going on for a while.,Bi-Polar
I feel like I cannot meet everyone's expectations lately.,Stress
For a while now I feel like I am too intense for most people and I wish I could change it.,Personality Disorder
Honestly I have been sleeping too much and still feel tired and it is exhausting.,Depression
For a while now I cannot enjoy anything because I am always stressed and it has been going on for a while.,Stress
I think I feel like a failure and nothing I do is good enough which is not normal for me.,Depression
Most days Then suddenly I crash and feel totally depressed which is not normal for me.,Bi-Polar
I feel like everything is falling apart,Depression
Today I feel relaxed and at peace today every single day.,Normal
I have been isolating myself from friends and family and it is exhausting.,Depression
For a while now I have been grinding my teeth at night from stress and that worries me.,Stress
I feel like the pain will never stop so why continue which is not normal for me.,Suicidal
For a while now I feel like my mood controls my life not me lately.,Bi-Polar
Most days I don't feel like talking to anyone and it is exhausting.,Depression
I think I feel very intense emotions that others do not seem to feel which is not normal for me.,Personality Disorder
I think I feel like ending it all is the only option left and it is exhausting.,Suicidal
Recently But last month I could not leave my room for weeks more than I would like to admit.,Bi-Polar
Today I feel like a failure and nothing I do is good enough and I wish I could change it.,Depression
I think I have very high highs and very low lows and I do not know what to do.,Bi-Polar
Sometimes I cooked a nice meal and felt good doing it which is not normal for me.,Normal
Often I feel like I have no stable sense of self which is not normal for me.,Personality Disorder
I think I feel content and grateful for my life,Normal
Today I feel relaxed and at peace today and I wish I could change it.,Normal
To be honest I feel scared even when nothing is wrong and it is exhausting.,Anxiety
Recently But last month I could not leave my room for weeks and it is hard.,Bi-Polar
I feel like I don't want to be here anymore and I do not know what to do.,Suicidal
Most days I act impulsively to avoid feeling the pain I carry inside and I wish I could change it.,Personality Disorder
I think Even good news can make me feel anxious lately.,Anxiety
I notice that I am under so much pressure and I feel like I might break and I wish I could change it.,Stress
For a while now I used to smile a lot but lately I just feel numb and it has been going on for a while.,Depression
To be honest I feel so nervous and I don't know why every single day.,Anxiety
Sometimes I get really nervous in new situations and it is hard.,Anxiety
Lately My stomach hurts because I'm so worried and it is hard.,Anxiety
Honestly I feel like my moods shift without warning or reason more than I would like to admit.,Personality Disorder
I feel like I feel mentally clear and emotionally stable and it is hard.,Normal
I am enjoying my hobbies and feeling good lately.,Normal
It feels like I don't want to wake up tomorrow and that worries me.,Suicidal
Today I feel content and grateful for my life more than I would like to admit.,Normal
Every day But last month I could not leave my room for weeks and that worries me.,Bi-Polar
Recently I had racing thoughts for days and could not slow down,Bi-Polar
Honestly I cannot find joy in anything anymore every single day.,Depression
Recently I get panic attacks out of nowhere and it has been going on for a while.,Anxiety
It feels like I am making progress on my goals and feel encouraged and I wish I could change it.,Normal
Recently I keep worrying about things that might never happen and it has been going on for a while.,Anxiety
For a while now I spent too much money when I was feeling really good which is not normal for me.,Bi-Polar
Honestly I can't sleep because my mind won't stop and it has been going on for a while.,Anxiety
Lately I feel like giving up even though I know I should not every single day.,Depression
I think I feel like I need constant reassurance that people care every single day.,Personality Disorder
Often My heart is racing and I can't calm down more than I would like to admit.,Anxiety
Often I feel manipulative sometimes even though I do not mean to be and it is exhausting.,Personality Disorder
I cooked a nice meal and felt good doing it and I do not know what to do.,Normal
Most days I feel like everyone is judging me and it has been going on for a while.,Anxiety
I think I feel like giving up on life completely lately.,Suicidal
For a while now I feel like giving up on life completely more than I would like to admit.,Suicidal
I feel like I had a nice weekend spending time with my family more than I would like to admit.,Normal
I notice that I feel like two different people at different times which is not normal for me.,Bi-Polar
It feels like irritable and snappy because of stress and it is exhausting.,Stress
Today I feel like I deserve to suffer and it has been going on for a while.,Depression
To be honest I went days without sleep because I had so much energy,Bi-Polar
Lately I have been very talkative and energetic for days now and it is exhausting.,Bi-Polar
Sometimes I have a fear of being alone that affects all my decisions and it is hard.,Personality Disorder
For a while now I avoid phone calls because they make me anxious and it is hard.,Anxiety
Every day I feel like my core identity is unstable and shifting more than I would like to admit.,Personality Disorder
I have a very unstable self-image every single day.,Personality Disorder
For a while now I feel like I need constant reassurance that people care more than I would like to admit.,Personality Disorder
I feel like My heart is racing and I can't calm down and that worries me.,Anxiety
I have a very unstable self-image and it has been going on for a while.,Personality Disorder
I feel like I am trapped in my own patterns and cannot break free which is not normal for me.,Personality Disorder
Most days I am tired of fighting and want to stop more than I would like to admit.,Suicidal
Lately I think about ending my life sometimes every single day.,Suicidal
Often I keep overthinking every little thing and I do not know what to do.,Anxiety
It feels like I have been thinking about suicide more and more and it is exhausting.,Suicidal
I feel like Simple tasks feel overwhelming because I overthink them,Anxiety
Today I feel like I would rather not exist and it is exhausting.,Suicidal
For a while now I feel optimistic and hopeful about my future and it has been going on for a while.,Normal
Lately I had a great conversation with a friend today every single day.,Normal
Every day My mood is unpredictable and it affects everyone around me and I wish I could change it.,Bi-Polar
For a while now I feel like I am too intense for most people every single day.,Personality Disorder
I feel like other people do not experience emotions as strongly as I do which is not normal for me.,Personality Disorder
Honestly I feel normal for a while then everything goes extreme again,Bi-Polar
Honestly I feel like my moods shift without warning or reason and I wish I could change it.,Personality Disorder
Recently I have very intense emotions that shift very quickly and it is hard.,Personality Disorder
Every day My stress is affecting my relationships every single day.,Stress
I think I feel content and grateful for my life lately.,Normal
To be honest I feel physically tense all the time because of stress every single day.,Stress
Today I feel hopeless about the future and I do not know what to do.,Depression
Lately I feel like I have no stable sense of self and I do not know what to do.,Personality Disorder
Most days I cannot find joy in anything anymore and it has been going on for a while.,Depression
Sometimes My appetite changes completely depending on my mood every single day.,Bi-Polar
Most days I feel at ease and comfortable with myself,Normal
Most days I feel like I am always waiting for something bad to happen,Anxiety
It feels like I cannot concentrate because my thoughts are all over the place and it is exhausting.,Anxiety
To be honest Leaving the house feels really hard some days and it is exhausting.,Anxiety
I notice that I feel like I am done with life and it is hard.,Suicidal
Every day I feel like I am drowning in responsibilities,Stress
It feels like I had a great week but now I feel really low for no reason and that worries me.,Bi-Polar
Leaving the house feels really hard some days which is not normal for me.,Anxiety
Sometimes One day I feel amazing and the next I feel completely awful,Bi-Polar
Most days I feel like I am failing to keep up with everything and I do not know what to do.,Stress
Honestly I feel like life is passing me by and I cannot do anything and it is hard.,Depression
Recently I feel like myself today which is a good feeling,Normal
It feels like dread every morning when I wake up,Anxiety
Honestly I feel like my stress is making me physically ill and it is exhausting.,Stress
I feel like I do not feel motivated to take care of myself,Depression
I think I feel nervous when I have to talk to new people which is not normal for me.,Anxiety
Sometimes I cooked a nice meal and felt good doing it and it has been going on for a while.,Normal
Honestly Then when I am low I feel paralyzed and cannot do anything and I do not know what to do.,Bi-Polar
To be honest I feel like I am trapped in my own patterns and cannot break free and I do not know what to do.,Personality Disorder
Recently I feel like I am constantly running but going nowhere every single day.,Stress
Most days I feel like I want to end everything tonight which is not normal for me.,Suicidal
I feel like I think about ending my life sometimes and it is exhausting.,Suicidal
Sometimes I check things multiple times because I am afraid of making mistakes lately.,Anxiety
Lately I feel like I can never relax or take a break more than I would like to admit.,Anxiety
Often My boss keeps piling more work on me and I can't cope,Stress
For a while now I have been grinding my teeth at night from stress and I wish I could change it.,Stress
Recently I am feeling motivated and focused and it is exhausting.,Normal
To be honest I get headaches from all the stress I am under and I wish I could change it.,Stress
Honestly I am looking forward to the weekend and that worries me.,Normal
It feels like I am making progress on my goals and feel encouraged which is not normal for me.,Normal
I am feeling good today and ready to take on the day and I do not know what to do.,Normal
I feel like I cannot take the pain anymore and it has been going on for a while.,Suicidal
I feel like I am failing at everything and that worries me.,Depression
I am overwhelmed by financial stress and do not know what to do and I wish I could change it.,Stress
Today I feel so low that I cannot see any way forward and I wish I could change it.,Suicidal
To be honest I feel like I cannot take the pain anymore more than I would like to admit.,Suicidal
I feel like I am failing at everything and that worries me.,Depression
Most days I feel like two different people at different times and it has been going on for a while.,Bi-Polar
Recently I made a lot of impulsive decisions when I was in a high mood and it is exhausting.,Bi-Polar
Most days I feel at ease and comfortable with myself and I wish I could change it.,Normal
To be honest I had a nice conversation and feel uplifted and I wish I could change it.,Normal
Lately I feel short of breath when I am stressed every single day.,Anxiety
I think I feel like I deserve to suffer and it is exhausting.,Depression
For a while now Now I feel so empty and cannot think clearly at all and I do not know what to do.,Bi-Polar
Today I'm afraid of embarrassing myself in front of others and I do not know what to do.,Anxiety
I notice that I feel normal for a while then everything goes extreme again,Bi-Polar
I feel like I feel short of breath when I am stressed and it has been going on for a while.,Anxiety
Sometimes I started many projects when I was high but finished none which is not normal for me.,Bi-Polar
I get headaches from all the stress I am under lately.,Stress
Sometimes I feel no major worries today and that feels nice and it is exhausting.,Normal
Often I feel deeply misunderstood by most people more than I would like to admit.,Personality Disorder
Sometimes My appetite changes completely depending on my mood lately.,Bi-Polar
To be honest I feel completely hopeless and see no way out and that worries me.,Suicidal
It feels like dread every morning when I wake up and that worries me.,Anxiety
I think I feel irritated and overwhelmed all the time more than I would like to admit.,Stress
Every day I feel dread every morning when I wake up and I wish I could change it.,Anxiety
Every day I keep worrying about things that might never happen more than I would like to admit.,Anxiety
It feels like Then I feel heavy and hopeless and cannot do anything and I do not know what to do.,Bi-Polar
I notice that I feel like my stress is making me physically ill and that worries me.,Stress
Sometimes I feel like I don't really know who I am more than I would like to admit.,Personality Disorder
For a while now I feel like I am a burden and life would be easier without me and it is hard.,Suicidal
Lately I have been very talkative and energetic for days now which is not normal for me.,Bi-Polar
Recently I lost interest in things I used to enjoy and I wish I could change it.,Depression
To be honest I feel like I am going through the motions every day and it is hard.,Depression
I notice that I avoid going to crowded places because I get overwhelmed and that worries me.,Anxiety
To be honest I can't switch off even when I get home and that worries me.,Stress
Sometimes I feel like I don't want to be here anymore and it is hard.,Suicidal
Recently I have been giving away my things lately and that worries me.,Suicidal
Honestly I had a laugh with coworkers and feel connected and that worries me.,Normal
Every day I feel tense in my shoulders and chest all day and I do not know what to do.,Anxiety
For a while now I feel content and grateful for my life and it is hard.,Normal
I think I feel tense and stressed even when I wake up in the morning which is not normal for me.,Stress
I go from loving someone to hating them very quickly and it is exhausting.,Personality Disorder
Lately My mood swings so much it is hard to keep up and I do not know what to do.,Bi-Polar
Honestly I feel like I am stretched too thin and something has to give which is not normal for me.,Stress
For a while now I feel stressed about money and I can't stop thinking about it and that worries me.,Stress
I feel like there is no hope left for me and that worries me.,Suicidal
Every day I am making progress on my goals and feel encouraged,Normal
I notice that I feel like I am stretched too thin and something has to give and I do not know what to do.,Stress
To be honest I feel no major worries today and that feels nice and it is exhausting.,Normal
I notice that I am looking forward to the weekend and that worries me.,Normal
Honestly I feel sad and I do not know how to feel better and it is exhausting.,Depression
Every day I feel like nobody would notice if I disappeared every single day.,Depression
Recently I feel a sense of purpose in what I am doing lately.,Normal
To be honest My relationships suffer because of my extreme mood changes and it is hard.,Bi-Polar
It feels like like I am stuck in a dark place and it is exhausting.,Depression
To be honest I had a productive day and feel satisfied and I wish I could change it.,Normal
Recently I am happy with where things are going in my life lately.,Normal
Lately My mood swings so much it is hard to keep up and I wish I could change it.,Bi-Polar
Lately I don't enjoy food or hobbies anymore lately.,Depression
Today I feel relaxed and at peace today which is not normal for me.,Normal
Most days I act impulsively to avoid feeling the pain I carry inside,Personality Disorder
Lately My mood swings so much it is hard to keep up which is not normal for me.,Bi-Polar
Sometimes Every small thing feels like a huge problem right now and it is exhausting.,Stress
Every day I don't want to wake up tomorrow lately.,Suicidal
To be honest I feel like I am failing at everything which is not normal for me.,Depression
To be honest I cooked a nice meal and felt good doing it every single day.,Normal
Honestly I went to the gym and feel great lately.,Normal
Today I feel like I never have enough time to finish everything and I wish I could change it.,Stress
Sometimes I feel no major worries today and that feels nice and I wish I could change it.,Normal
Often I feel like I want to disappear forever which is not normal for me.,Suicidal
I feel like My mood swings so much it is hard to keep up which is not normal for me.,Bi-Polar
I feel like I feel deeply misunderstood by most people and I wish I could change it.,Personality Disorder
Lately I feel well-rested and energized for the day every single day.,Normal
Often I feel very creative and energetic sometimes without explanation and that worries me.,Bi-Polar
Today I feel like nobody really cares about me and that worries me.,Depression
I notice that I feel like I cannot handle any more pressure more than I would like to admit.,Anxiety
Often I feel short of breath when I am stressed and I wish I could change it.,Anxiety
Often I cry for no reason sometimes and I do not know what to do.,Depression
It feels like anxious about going out today and it is hard.,Anxiety
Often I feel like I have run out of reasons to stay alive every single day.,Suicidal
Recently My mood is unpredictable and it affects everyone around me and I do not know what to do.,Bi-Polar
To be honest I have a very unstable self-image and it is exhausting.,Personality Disorder
Every day I had racing thoughts for days and could not slow down and I wish I could change it.,Bi-Polar
Often I have no energy to do anything today more than I would like to admit.,Depression
Every day I feel like my emotions control me rather than the other way around and it is hard.,Personality Disorder
Every day I feel irritable and snappy because of stress which is not normal for me.,Stress
I notice that I went for a walk and felt refreshed more than I would like to admit.,Normal
Lately I have no energy to do anything today and it has been going on for a while.,Depression
It feels like disconnected from life and the people around me every single day.,Depression
I think I feel comfortable in my own skin today and it is hard.,Normal
One day I feel amazing and the next I feel completely awful and it is exhausting.,Bi-Polar
I feel like I feel mentally clear and emotionally stable which is not normal for me.,Normal
For a while now I cannot relax even on weekends because of work stress every single day.,Stress
I feel like I keep thinking about what it would be like to die and that worries me.,Suicidal
I notice that I am under so much pressure and I feel like I might break and that worries me.,Stress
I feel uneasy and I don't know why and it is hard.,Anxiety
For a while now I get very anxious before meetings or social events and I do not know what to do.,Anxiety
Lately I feel on edge even when I am at home more than I would like to admit.,Anxiety
I worry too much about what others think of me and that worries me.,Anxiety
I feel like I keep overthinking every little thing and that worries me.,Anxiety
Recently I have very intense emotions that shift very quickly and it has been going on for a while.,Personality Disorder
Sometimes My emotions go from one extreme to the other very quickly,Bi-Polar
Today Even good news can make me feel anxious and that worries me.,Anxiety
I think I feel completely alone even when surrounded by people and it has been going on for a while.,Depression
For a while now I feel nervous when I have to talk to new people and it is hard.,Anxiety
Lately I feel like I have run out of reasons to stay alive every single day.,Suicidal
Recently I feel like I am different people in different situations every single day.,Personality Disorder
Lately I feel well-rested and energized for the day and I wish I could change it.,Normal
Most days I feel at ease and comfortable with myself and it is exhausting.,Normal
Most days I feel like life is passing me by and I cannot do anything and I do not know what to do.,Depression
Every day I feel like myself today which is a good feeling and I do not know what to do.,Normal
I feel sad all the time and don't know why every single day.,Depression
Most days I wish I could just go to sleep and not wake up and it is exhausting.,Suicidal
Every day I feel like I am stuck in a dark place,Depression
I notice that Getting out of bed feels impossible these days which is not normal for me.,Depression
I think Even good news can make me feel anxious and it has been going on for a while.,Anxiety
I think I feel like my mood controls my life not me more than I would like to admit.,Bi-Polar
Sometimes I feel like my mind works differently from everyone else and it has been going on for a while.,Bi-Polar
Often I feel well-rested and energized for the day and it has been going on for a while.,Normal
Honestly I think the world would be better without me in it and I wish I could change it.,Suicidal
Today Sometimes I feel so energetic I barely need sleep more than I would like to admit.,Bi-Polar
It feels like I managed to finish a big task at work and feel proud lately.,Normal
I notice that I feel like I am never good enough no matter what I do and it is exhausting.,Personality Disorder
Today I feel comfortable in my own skin today lately.,Normal
Honestly I feel like the pressure is never going to let up and it is hard.,Stress
For a while now Work has been going well and I feel productive more than I would like to admit.,Normal
Sometimes I feel happy about the progress I have been making and it has been going on for a while.,Normal
Today I feel relaxed and at peace today,Normal
One day I feel amazing and the next I feel completely awful every single day.,Bi-Polar
Sometimes I feel like there is no hope left for me and it has been going on for a while.,Suicidal
I feel very empty inside most of the time and I wish I could change it.,Personality Disorder
To be honest I feel like I don't really know who I am and I wish I could change it.,Personality Disorder
I notice that I feel like relationships are very all or nothing for me and it is hard.,Personality Disorder
Most days I feel stressed about my family and their problems which is not normal for me.,Stress
Sometimes I don't see the point in trying anymore every single day.,Depression
For a while now I have been grinding my teeth at night from stress lately.,Stress
Honestly I feel like my moods shift without warning or reason and I wish I could change it.,Personality Disorder
Sometimes When I am in a high phase I feel like I can do anything and it is hard.,Bi-Polar
Honestly I cannot find joy in anything anymore every single day.,Depression
I notice that I think about death a lot and it comforts me and it is hard.,Suicidal
I feel like nobody would miss me if I were gone and I wish I could change it.,Suicidal
For a while now I feel content and grateful for my life which is not normal for me.,Normal
Every day I feel disconnected from life and the people around me every single day.,Depression
Often I had a nice weekend spending time with my family and it is hard.,Normal
I feel like I feel confident and ready to face challenges every single day.,Normal
Sometimes I check things multiple times because I am afraid of making mistakes and it is hard.,Anxiety
I feel like I feel grandiose and special sometimes but then worthless the next and it is exhausting.,Bi-Polar
Recently I feel irritable and snappy because of stress lately.,Stress
I feel like I am juggling too many things at once which is not normal for me.,Stress
I think I feel empty inside like nothing matters and it is exhausting.,Depression
I notice that My mind races at night and I can't fall asleep every single day.,Anxiety
Most days I have done things I regret when I was overwhelmed with emotion and it has been going on for a while.,Personality Disorder
Every day I feel like everyone would be better off without me more than I would like to admit.,Suicidal
For a while now I feel relaxed and at peace today,Normal
Often I have been very talkative and energetic for days now every single day.,Bi-Polar
I feel like I am going through the motions every day and I wish I could change it.,Depression
